"filename", "language", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "JSON", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"g:\quiz_app_new\lib\ui\screens\user_type.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 4, 4, 96
"g:\quiz_app_new\lib\ui\widgets\custom_image.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"g:\quiz_app_new\lib\ui\widgets\language_dropdown_button.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"g:\quiz_app_new\lib\ui\widgets\login_form_text_field.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 4, 64
"g:\quiz_app_new\lib\ui\widgets\user_type_dropdown_button.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"g:\quiz_app_new\lib\utils\color_schemes.g.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"g:\quiz_app_new\lib\utils\common_functions.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"g:\quiz_app_new\lib\utils\constants.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\quiz_app_new\lib\utils\routes.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 11, 8, 74
"g:\quiz_app_new\lib\utils\typography.dart", "Dart", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
"g:\quiz_app_new\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\quiz_app_new\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\quiz_app_new\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\quiz_app_new\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"g:\quiz_app_new\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\quiz_app_new\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 4, 27
"g:\quiz_app_new\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"g:\quiz_app_new\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"g:\quiz_app_new\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"g:\quiz_app_new\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"g:\quiz_app_new\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"g:\quiz_app_new\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
